1JANATAMF,6.30,Mutual Funds,A,1.3,0.78,2.54,11.94,2021
1STPRIMFMF,17.80,Mutual Funds,A,0.8,1.4,0.38,11.62,2020
AAMRANET,43.00,IT Sector,A,2.65,1.88,2.14,37.09,2021
AAMRATECH,34.20,IT Sector,A,2.21,2.32,1.45,23.93,2021
ABB1STMF,5.50,Mutual Funds,A,0.8,0.92,2.61,11.97,2021
ABBANK,12.80,Bank,B,0.64,0.59,0.5,32.26,2020
ACFL,29.60,Textile,A,1.1,1.1,1.25,34.72,2021
ACI,294.40,Pharmaceuticals & Chemicals,A,50.66,11.02,5.5,162.65,2021
ACIFORMULA,172.00,Pharmaceuticals & Chemicals,A,11.6,7.42,4.74,66.77,2021
ACMELAB,94.70,Pharmaceuticals & Chemicals,A,2.5,10.34,7.42,95.04,2021
ACMEPL,35.40,Pharmaceuticals & Chemicals,N,-,1.98,1.65,18.48,2021
ACTIVEFINE,23.30,Pharmaceuticals & Chemicals,B,0.05,0.42,0.16,22.01,2021
ADNTEL,53.00,IT Sector,A,1.0,2.46,2.57,25.97,2021
ADVENT,25.00,Pharmaceuticals & Chemicals,B,2.5,1.36,1.41,13.5,2020
AFCAGRO,27.20,Pharmaceuticals & Chemicals,B,0.05,0.66,0.15,18.0,2021
AFTABAUTO,27.60,Engineering,A,1.88,-, n/a ,57.89,2021
AGNISYSL,24.90,IT Sector,B,0.35,1.14,0.77,14.62,2021
AGRANINS,52.90,Insurance,A,3.15,1.83,1.72,18.11,2020
AIBL1STIMF,8.70,Mutual Funds,A,1.23,0.53,1.85,11.57,2021
AIL,47.10,Textile,A,1.0,1.5,1.45,21.66,2021
AL-HAJTEX,103.00,Textile,B,0.1,0.24,0.26,8.61,2021
ALARABANK,26.90,Bank,A,1.5,2.05,2.41,22.35,2020
ALIF,14.10,Textile,B,0.2,0.64,0.44,14.18,2021
ALLTEX,27.50,Textile,Z,-,0.24, n/a ,5.87,2021
AMANFEED,51.40,Miscellaneous,A,1.5,3.7,2.53,32.23,2021
AMBEEPHA,556.60,Pharmaceuticals & Chemicals,A,-,0.68, n/a ,18.68,2021
AMCL(PRAN),384.10,Food & Allied,A,3.2,8.7,5.37,84.17,2021
ANLIMAYARN,38.90,Textile,B,0.2,-,0.05,10.63,2021
ANWARGALV,434.60,Engineering,A,22.73,15.26,2.03,10.85,2020
AOL,42.50,Fuel & Power,A,3.6,1.88,1.58,19.25,2020
APEXFOODS,225.20,Food & Allied,A,2.0,2.2,2.07,119.39,2021
APEXFOOT,342.20,Tannery Industries,A,20.61,8.1,9.36,256.81,2021
APEXSPINN,162.30,Textile,A,2.0,3.62,2.93,55.81,2021
APEXTANRY,147.60,Tannery Industries,A,1.0,0.32,0.34,63.17,2021
APOLOISPAT,9.50,Engineering,B,0.28,-,0.05,20.19,2018
ARAMIT,391.70,Miscellaneous,A,5.0,4.56,7.69,181.42,2021
ARAMITCEM,47.30,Cement,B,-,-,0.6,29.13,2021
ARGONDENIM,18.20,Textile,A,1.91,-,0.71,26.15,2021
ASIAINS,92.20,Insurance,A,1.2,4.24,2.34,24.52,2020
