1JANATAMF,6.5,6.6,6.5,0.0,6.5,0.0,16,0.491,75570
1STPRIMFMF,18.2,18.4,18.0,0.0,18.2,0.0,75,1.534,84540
AAMRANET,47.2,47.9,47.2,0.0,48.1,-0.9,598,45.722,965156
AAMRATECH,38.8,39.7,38.7,0.0,39.4,-0.6,491,54.24,1397757
ABB1STMF,5.8,5.8,5.8,0.0,5.7,0.1,10,0.273,47000
ABBANK,12.4,12.5,12.3,0.0,12.3,0.1,29,0.216,17477
ACFL,28.9,29.1,28.6,0.0,29.0,-0.1,14,1.947,68001
ACI,290.0,290.0,286.0,0.0,284.8,5.2,69,3.065,10676
ACIFORMULA,171.0,171.0,169.0,0.0,168.9,2.1,159,3.918,23034
ACMELAB,90.3,90.8,89.0,0.0,88.8,1.5,116,5.002,55554
ACTIVEFINE,23.4,23.6,23.1,0.0,23.2,0.2,118,3.978,170079
ADNTEL,65.1,66.0,64.0,0.0,64.6,0.5,33,1.138,17577
ADVENT,29.9,30.2,29.6,0.0,29.5,0.4,589,43.563,1456134
AFCAGRO,25.1,26.1,25.1,0.0,25.6,-0.5,164,15.457,614130
AGNISYSL,27.6,28.2,27.3,0.0,27.8,-0.2,496,27.159,984873
AGRANINS,47.3,48.0,47.1,0.0,47.0,0.3,19,0.409,8654
AIBL1STIMF,8.8,8.8,8.8,0.0,8.7,0.1,5,0.047,5300
AIL,48.3,48.8,47.6,0.0,47.9,0.4,22,0.91,18907
ALARABANK,26.5,26.5,26.5,0.0,26.7,-0.2,3,0.137,5188
ALIF,14.4,14.5,14.3,0.0,14.4,0.0,175,5.491,381085
AMANFEED,44.9,45.2,44.6,0.0,44.5,0.4,131,5.476,121616
AMCL(PRAN),336.8,336.9,328.9,0.0,327.2,9.6,482,13.368,40144
ANWARGALV,380.0,383.0,366.0,0.0,366.0,14.0,523,56.115,151284
AOL,41.8,42.3,41.5,0.0,42.1,-0.3,311,14.172,339522
APEXFOODS,224.8,224.8,207.1,0.0,207.0,17.8,1015,33.536,156159
APEXFOOT,306.6,307.8,296.0,0.0,295.5,11.1,434,22.898,75893
APEXSPINN,166.6,166.7,161.5,0.0,161.6,5.0,615,18.843,114867
APEXTANRY,139.0,139.0,134.0,0.0,132.1,6.9,245,6.593,48039
ARAMIT,344.5,344.5,335.3,0.0,333.1,11.4,107,2.17,6382
ASIAINS,78.2,79.6,77.7,0.0,77.8,0.4,174,3.935,50109
ASIAPACINS,52.8,52.8,52.5,0.0,52.5,0.3,28,0.57,10813
ATCSLGF,10.1,10.1,10.0,0.0,9.9,0.2,22,1.325,131980
BANGAS,125.7,125.7,123.3,0.0,124.2,1.5,85,1.184,9493
BANKASIA,21.1,21.2,21.0,0.0,20.9,0.2,40,1.509,71748
BARKAPOWER,24.3,24.5,24.2,0.0,24.2,0.1,42,1.359,55697
BATBC,587.0,590.0,585.2,0.0,588.4,-1.4,313,9.401,15994
BAYLEASING,28.0,28.4,27.8,0.0,27.9,0.1,146,4.731,168048
BBSCABLES,56.8,57.2,56.1,0.0,56.1,0.7,59,2.293,40289
BDAUTOCA,144.2,144.4,142.0,0.0,140.9,3.3,51,1.212,8424
BDCOM,42.6,43.6,42.5,0.0,43.3,-0.7,909,58.706,1371497
BDFINANCE,39.9,40.9,39.5,0.0,40.3,-0.4,90,31.557,788932
BDLAMPS,311.9,313.0,300.0,0.0,296.5,15.4,978,32.742,106920
BDTHAI,19.4,19.6,19.3,0.0,19.3,0.1,82,1.712,88117
